"processo","instancia","comarca","resultado_dispositivo","favorabilidade"
"10169395120188260602","2a","Sorocaba","procedente","consumidor_venceu"
"10169395120188260602","2a","Sorocaba","indefinido","indefinido"
"10067367120188260362","2a","São Paulo","procedente","consumidor_venceu"
"11168802520188260100","2a","São Paulo","procedente","consumidor_venceu"
"11168802520188260100","2a","São Paulo","indefinido","indefinido"
"11168802520188260100","2a","São Paulo","procedente","consumidor_venceu"
"11168802520188260100","2a","São Paulo","indefinido","indefinido"
"10001652220178260297","2a","Jales","procedente","consumidor_venceu"
"20785354520198260000","2a","Hortolândia","procedente","consumidor_venceu"
"21531703120188260000","2a","Taubaté","procedente","consumidor_venceu"
"10117294820178260248","2a","Indaiatuba","indefinido","indefinido"
"10117294820178260248","2a","Indaiatuba","indefinido","indefinido"
"10117294820178260248","2a","Indaiatuba","indefinido","indefinido"
"10117294820178260248","2a","Indaiatuba","indefinido","indefinido"
"21025164020188260000","2a","Assis","indefinido","indefinido"
"10671166820168260576","2a","São José do Rio Preto","procedente","consumidor_venceu"
"10671166820168260576","2a","São José do Rio Preto","indefinido","indefinido"
"10671166820168260576","2a","São José do Rio Preto","procedente","consumidor_venceu"
"10671166820168260576","2a","São José do Rio Preto","indefinido","indefinido"
